sample,n,study,area.cov,tmb
TCGA-25-1623,354,TCGA,52833197,6.7
TCGA-25-1634,173,TCGA,19592871,8.83
TCGA-36-1576,238,TCGA,45008526,5.29
TCGA-20-1683,243,TCGA,61949304,3.92
TCGA-29-1688,704,TCGA,45235707,15.56
TCGA-24-1436,272,TCGA,57258350,4.75
TCGA-24-1469,130,TCGA,28620460,4.54
TCGA-24-1553,349,TCGA,49651935,7.03
TCGA-09-1662,301,TCGA,55378993,5.44
TCGA-24-1546,354,TCGA,47708658,7.42
TCGA-36-1577,313,TCGA,59257359,5.28
TCGA-04-1655,695,TCGA,38653390,17.98
TCGA-04-1536,113,TCGA,14006146,8.07
TCGA-09-1669,149,TCGA,23712848,6.28
TCGA-24-1560,125,TCGA,28940985,4.32
TCGA-25-1632,104,TCGA,25194936,4.13
TCGA-36-1574,143,TCGA,26141107,5.47
TCGA-57-1583,446,TCGA,45680814,9.76
TCGA-04-1542,128,TCGA,15200237,8.42
TCGA-24-1551,82,TCGA,14991840,5.47
TCGA-24-1603,216,TCGA,53205541,4.06
TCGA-24-1544,165,TCGA,17105598,9.65
TCGA-24-1567,230,TCGA,47173218,4.88
TCGA-25-1633,274,TCGA,47709358,5.74
TCGA-24-1847,146,TCGA,25806175,5.66
TCGA-24-1435,145,TCGA,24459431,5.93
TCGA-24-1425,113,TCGA,27936241,4.04
TCGA-24-1552,215,TCGA,41726062,5.15
TCGA-13-1477,144,TCGA,16980709,8.48
TCGA-24-1422,633,TCGA,67004079,9.45
TCGA-23-1123,265,TCGA,59783986,4.43
TCGA-24-1105,237,TCGA,56012933,4.23
TCGA-04-1362,240,TCGA,53357644,4.5
TCGA-13-0900,482,TCGA,45854964,10.51
TCGA-13-1408,389,TCGA,57873047,6.72
TCGA-25-1314,290,TCGA,64203276,4.52
TCGA-25-1322,295,TCGA,60376067,4.89
TCGA-13-1481,161,TCGA,23766680,6.77
TCGA-13-1489,327,TCGA,43223127,7.57
TCGA-13-1499,404,TCGA,50146760,8.06
TCGA-13-1510,205,TCGA,23546174,8.71
TCGA-24-1423,153,TCGA,28498862,5.37
TCGA-04-1341,758,TCGA,38849988,19.51
TCGA-04-1348,286,TCGA,53246937,5.37
TCGA-04-1364,229,TCGA,42648471,5.37
TCGA-13-0901,739,TCGA,30969925,23.86
TCGA-13-1409,437,TCGA,46671943,9.36
TCGA-25-1315,95,TCGA,25832420,3.68
TCGA-25-1323,314,TCGA,51494247,6.1
TCGA-13-1482,350,TCGA,67282305,5.2
TCGA-13-1511,165,TCGA,28970734,5.7
TCGA-24-1424,264,TCGA,54095380,4.88
TCGA-24-0970,241,TCGA,47998752,5.02
TCGA-04-1365,279,TCGA,52436623,5.32
TCGA-23-1028,489,TCGA,32338352,15.12
TCGA-23-1118,266,TCGA,42633128,6.24
TCGA-20-1684,258,TCGA,60737293,4.25
TCGA-29-1690,111,TCGA,19607687,5.66
TCGA-24-1555,260,TCGA,52046270,5
TCGA-24-1616,151,TCGA,26216867,5.76
TCGA-09-1665,564,TCGA,44488696,12.68
TCGA-24-1548,263,TCGA,57625622,4.56
TCGA-36-1578,347,TCGA,54781713,6.33
TCGA-13-0800,250,TCGA,40736568,6.14
TCGA-13-0888,406,TCGA,30569648,13.28
TCGA-10-0928,100,TCGA,16714233,5.98
TCGA-13-0906,113,TCGA,17543353,6.44
TCGA-13-0920,405,TCGA,32562145,12.44
TCGA-20-1682,79,TCGA,13094342,6.03
TCGA-04-1338,346,TCGA,26263433,13.17
TCGA-23-1030,103,TCGA,22823166,4.51
TCGA-23-1119,431,TCGA,28696195,15.02
TCGA-13-0884,279,TCGA,32292297,8.64
TCGA-13-1404,219,TCGA,37786362,5.8
TCGA-24-1413,233,TCGA,46591217,5
TCGA-25-1319,221,TCGA,48314958,4.57
TCGA-24-1556,155,TCGA,37836860,4.1
TCGA-25-1870,128,TCGA,26638553,4.81
TCGA-25-1627,272,TCGA,48016755,5.66
TCGA-29-1698,141,TCGA,19494956,7.23
TCGA-36-1580,158,TCGA,27244036,5.8
TCGA-30-1855,362,TCGA,57559342,6.29
TCGA-29-1693,306,TCGA,50384930,6.07
TCGA-61-1740,153,TCGA,25605730,5.98
TCGA-29-1702,106,TCGA,26777091,3.96
TCGA-61-1900,617,TCGA,55878255,11.04
TCGA-29-1774,129,TCGA,17280037,7.47
TCGA-24-2023,289,TCGA,50270852,5.75
TCGA-29-1763,279,TCGA,28274928,9.87
TCGA-61-1737,376,TCGA,53087792,7.08
TCGA-29-1694,163,TCGA,23878210,6.83
TCGA-24-1845,454,TCGA,50809245,8.94
TCGA-61-1741,127,TCGA,28898280,4.39
TCGA-25-2042,114,TCGA,26519344,4.3
TCGA-61-2102,222,TCGA,40561993,5.47
TCGA-30-1861,95,TCGA,12635633,7.52
TCGA-61-1736,246,TCGA,54721422,4.5
TCGA-23-2078,132,TCGA,28576228,4.62
TCGA-31-1951,259,TCGA,52927417,4.89
TCGA-61-2088,122,TCGA,37873136,3.22
TCGA-31-1953,331,TCGA,54904572,6.03
TCGA-61-1995,256,TCGA,67612446,3.79
TCGA-24-2254,300,TCGA,50647864,5.92
TCGA-61-2097,321,TCGA,38657911,8.3
TCGA-24-2261,275,TCGA,62113665,4.43
TCGA-61-2016,91,TCGA,27158180,3.35
TCGA-61-2111,116,TCGA,20563200,5.64
TCGA-29-1781,605,TCGA,44690382,13.54
TCGA-30-1718,420,TCGA,49534275,8.48
TCGA-09-1666,190,TCGA,25205895,7.54
TCGA-29-1770,299,TCGA,64965528,4.6
TCGA-24-1562,421,TCGA,54209914,7.77
TCGA-30-1714,566,TCGA,25682456,22.04
TCGA-61-1914,140,TCGA,13964720,10.03
TCGA-29-1701,454,TCGA,36415122,12.47
TCGA-30-1853,243,TCGA,17049541,14.25
TCGA-24-1849,361,TCGA,58221885,6.2
TCGA-61-1911,813,TCGA,25827138,31.48
TCGA-29-1705,82,TCGA,45006195,1.82
TCGA-29-1769,739,TCGA,37910767,19.49
TCGA-29-1784,498,TCGA,47380389,10.51
TCGA-29-1696,284,TCGA,20577522,13.8
TCGA-61-1910,300,TCGA,35091988,8.55
TCGA-61-2008,179,TCGA,28364457,6.31
TCGA-24-2271,422,TCGA,41380053,10.2
TCGA-30-1860,148,TCGA,15084034,9.81
TCGA-31-1946,323,TCGA,48834336,6.61
TCGA-24-2281,285,TCGA,48763735,5.84
TCGA-31-1944,257,TCGA,46073825,5.58
TCGA-61-2098,279,TCGA,64414526,4.33
TCGA-57-1993,295,TCGA,54469550,5.42
TCGA-24-2267,354,TCGA,47363195,7.47
TCGA-57-1586,132,TCGA,24854235,5.31
TCGA-61-1918,258,TCGA,48093839,5.36
TCGA-24-1850,174,TCGA,17964524,9.69
